Group,Department,Subjects
醫藥衛生,復健治療學,復健學、物理治療導論、職能治療導論、解剖學、生理學、肌動學、言語科學、聽力科學、運動科學等
生命科學,生命科學,生命科學、分子與細胞生物學、生物化學、遺傳學、生物資訊、生物統計、植物生理學、動物生理學、微生物學等
生命科學,生物科技學,生物科技概論、生物學、生物統計、遺傳學、有機化學、分析化學、微生物學、分子生物學、細胞生物學、生物技術等
生命科學,生化科技學,生化科技概論、生物學、有機化學、分析化學、生物化學、遺傳學、分子生物學、生物技術、營養生化學、臨床生化學、微生物學等
生命科學,生物醫學科學,細胞生物學、人類遺傳學、生理學、生物化學、生物技術、生物資訊學、發育生物學、神經生物學、腫瘤生物學等
生命科學,生物學,生物學、分子生物學、生態學、生物化學、遺傳學、生物資訊、生物統計、植物生理學、動物生理學、微生物學等
生物資源,動物科學,動物生殖學、解剖學、遺傳學、營養學、生物化學、肉品學、乳品學等
生物資源,食品科學,食品科學概論、生物化學、食品加工、微生物學、食品化學、營養學等
生物資源,農藝學,有機化學、作物育種學、植物生理學、遺傳學、土壤學、病蟲防治等
生物資源,園藝學,植物學、花卉學、果樹學、蔬菜學、造園學、生物化學、園產品處理等
生物資源,獸醫學,獸醫生理學、解剖學、生物化學、寄生蟲學、細菌學、獸醫病理學等
生物資源,森林學,林業概論、植物學、動物學、森林土壤學、森林水文學、育林學、森林生態學、微生物學、環境工程學、水土保持學
生物資源,漁業資源學,水產概論、生物學、魚類學、水質學、養殖學、生態學、遺傳育種學、水族病理學、營養與飼料學等
地球與環境,地球科學,地質學、數值分析、地球物理、大氣科學、海洋學、天文學、礦物岩石學等
地球與環境,大氣科學,大氣科學概論、天氣學、氣候學、大氣測計學、大氣熱力學、數值分析等
地球與環境,地理與地質科學,地質學、地層學、地球系統科學、礦物學、岩石學、沉積學、古生物學等
地球與環境,環境工程與科學,環境工程概論、衛生工程、水污染防治、有害廢棄物處理、環境經濟學、地球物理、水文學、構造地質學、礦物岩石、工程數學等
建築與設計,建築學,工程力學、材料力學、建築設計、建築結構學、建築圖學、建築法規等
建築與設計,工業設計學,產品設計、圖學、素描、產品機構學、人因工程、.表現技法、專題設計等
建築與設計,商業設計學,廣告設計、包裝設計、色彩學、平面表現技法、網站設計、商業攝影等
建築與設計,景觀與空間設計學,景觀設計、測量學、空間圖學、室內設計實務、色彩學、照明設計、電腦繪圖、公共安全法規等
建築與設計,時尚與服裝設計學,服裝設計、立體剪裁、服裝繪圖、服裝製作、織品材料學、織品染色學等
建築與設計,都市計畫學,測量學、都市設計、都市交通、都市經濟學、土地使用、都市計畫法規等
建築與設計,美容與美髮設計學,化妝品概論、普通化學、生理學、色彩學、時尚彩妝設計、剪燙染實務、舒壓洗髮實務、毛髮科學、整體造型設計等
建築與設計,產品與工藝設計學,產品設計、工藝創新設計、素描、表現技法、色彩學、電腦輔助設計、模型製作、陶瓷工藝、金屬工藝、木材工藝、玻璃工藝等
建築與設計,媒體與視覺傳達設計學,數位影像設計、視覺心理學、動畫設計應用、後製特效處理、攝影學、設計美學、錄像實務創作等
藝術,美術學,美學、色彩學、素描、油畫、國畫、書法、水彩、電腦繪圖、基礎設計、美術史等
藝術,音樂學,音樂基礎訓練、音樂理論、西洋音樂史、和聲學、樂器學、曲式學、樂曲分析等
藝術,戲劇學,戲劇導論、劇本導讀、舞台技術、燈光技術、服裝技術、導演概論、戲劇製作等
藝術,舞蹈學,舞蹈概論、舞蹈創作、舞蹈教學、舞蹈鑑賞、現代舞、中國舞、芭蕾、舞蹈史、運動生理學等
藝術,視覺與藝術創作學,雕塑學、木雕、石雕、複合媒材、金屬造型、雕塑作品賞析、展示設計、攝影美學、視覺藝術鑑賞、美術透視學、博物館藝術、廟宇藝術、動畫與美學等
社會與心理,社會學,社會學、社會統計、社會研究方法、社會組織、哲學、心理學、文化人類學等
社會與心理,社會工作學,社會學、社會工作概論、社會心理學、社會統計、社會個案工作、福利行政等
社會與心理,心理學,心理學、心理及教育統計、心理測驗、生理心理學、性格心理學、知覺心理學、發展心理學、變態心理學、社會心理學、青少年心理學、心理實驗法等
社會與心理,輔導學,心理學、教育心理學、心理測驗、團體諮商輔導、特殊教育導論、諮商技術等
社會與心理,幼兒保育學,幼兒生理學、心理學、社會學、兒童福利、嬰幼兒健康照護、嬰幼兒遊戲、小兒疾病概論、幼兒行為輔導、教保專業實習、幼兒園行政管理與實務等
社會與心理,老年服務學,老人學導論、老人心理學、高齡者周全健康評估、老人福利概論、老人社會工作與社會福利、社會學、生理學、管理學、長期照顧等
社會與心理,宗教與生死學,宗教學概論、世界宗教文化導論、比較宗教學、哲學概論、生命禮儀概論、生死學概論、殯葬學概論、心理學、社會學等
社會與心理,人類與民族學,人類學、考古學概論、史前史、語言學、社會學、民族學、民族誌概論、民族語言學概論、民族政策等
大眾傳播,大眾傳播學,傳播理論、傳播研究方法、戲劇概論、編劇實務、傳播心理學、新聞學、廣告學等
大眾傳播,新聞學,新聞學、新聞編輯、新聞採訪寫作、新聞攝影、新聞倫理法規、新聞英文等
大眾傳播,廣播電視學,廣播節目製作、電視節目製作、電子媒介概論、基礎攝影、廣電新聞、口語傳播等
大眾傳播,電影學,電影理論、電影製作、導演實務、劇本寫作、電影攝影、電影史、電影美學等
大眾傳播,廣告學,廣告學、公共關係概論、消費者行為、整合行銷、行銷研究、廣告設計等
大眾傳播,資訊傳播學,視覺傳播設計、傳播理論、行銷傳播、多媒體程式設計、互動腳本製作等
外語,英美語文學,英語聽講、英語作文、英語會話、西洋文學概論、語言學概論、第二外國語文、語意學、新聞英文、商務英文、中英翻譯、英語教學等
外語,日本語文學,日語發音、日語會話、日語語法、日本文學、日文寫作、日本概論、語言學、中日翻譯等
外語,韓國語文學,韓語正音、韓語會話、韓語語法、韓國文學、韓國歷史地理、語言學、韓語翻譯等
外語,歐洲語文學,歐洲文學概論、歐洲文化文明、(法國、德國、西班牙分組)-語法、會話、作文、翻譯等
外語,翻譯學,筆譯、逐步口譯、視譯、西洋文化、英語文法寫作、第二外語、商業概論、科技概論等
文史哲,中國文學,國學導讀、文學概論、語言學、文字學、聲韻學、訓詁學、中國思想史、詩選等
文史哲,歷史學,史學理論、史學研究方法、世界史、中國史、臺灣史、史記、史學方法論等
文史哲,哲學,哲學概論、邏輯、倫理學、形上學、中國哲學史、西洋哲學史、哲學議題研討等
文史哲,臺灣文學,文學概論、語言學、臺灣文化史、臺灣文學史、母語習作、臺灣民俗文化等
文史哲,文化創意產業學,文學史、文化史、管理學、美學與藝術史、博物館學、器物文化、文化資產與現行法規、口語溝通策略與演練、展演藝術語表達等
教育,教育學,教育概論、教育心理學、教育社會學、班級經營、課程設計、教育測驗評量等
教育,特殊教育學,特殊教育導論、特殊教育學生評量、資優教育、視聽障礙與智能障礙教學等
教育,幼兒教育學,幼稚教育概論、幼兒發展、創造力教育、幼兒遊戲理論與應用、親職教育等
教育,成人教育學,成人教育導論、教育研究、成人心理、高齡教育學、成人教學、社區教育等
教育,公民教育學,公民教育、民主政治、法學緒論、中華民國憲法、政治學、社會學、經濟學等
教育,學科教育學,教學評量與測驗、教育特論、綜合華語、臺灣語言通論、語言與文化、外語教學概論、線性代數、高等微積分、幾何學、統計學、生物學等
法政,法律學,法理學、法學方法論、民法、刑法、憲法、商事法、民事訴訟法、刑事訴訟法等
法政,財經法律學,民法、刑法、民法債篇、商事法、票據法、證券交易法、保險法、著作權法等
法政,政治學,政治學、公共政策、統計學、民意調查、政黨政治、政治思想史、國際關係等
法政,外交與國際事務學,政治學、國際關係、比較政府、外交英文、外交決策、國際談判、國際公法等
法政,公共行政學,行政學、公共政策、政治學、比較政府、行政法、地方政府、中華民國憲法等
管理,企業管理學,管理學、統計學、經濟學、行銷管理、財務管理、人力資源、公司治理等
管理,行銷學,行銷管理、管理學、統計學、行銷研究、消費者行為、國際行銷、策略行銷等
管理,運輸管理學,運輸學、管理學、海運學、海商法、作業研究、港埠經營、國際貿易等
管理,流通管理學,運輸學、流通管理、作業研究、供應鏈管理、統計學、電子商務、國際貿易等
管理,人力資源學,管理學、人力資源管理、組織行為、薪酬福利管理、績效管理、招募甄選管理等
管理,醫務管理學,醫管實習、公共衛生、資材管理、人力資源、醫療品質管理、醫院資訊系統等
管理,管理科學學,管理科學導論、微積分、作業研究、數理統計、管理數學、決策分析、經濟學等
管理,工業與商業管理學,品質管理、供應鏈管理、管理學、工商倫理、行銷管理、流通管理、人力資源、統計學、電子商務、國際貿易等
財經,財務金融學,財務管理、統計學、貨幣銀行學、經濟學、保險學、投資學、期貨與選擇權等
財經,會計學,中級會計學、成本與管理會計、審計學、高級會計學、稅務法規、商事法等
財經,經濟學,個體經濟學、總體經濟學、統計學、微積分、公共經濟學、國際經濟學、商事法等
財經,國際貿易學,國貿理論與政策、國際金融、個體經濟學、總體經濟學、國際經貿法、經貿英文等
財經,風險管理與保險學,保險學、風險管理、統計學、人壽保險、財產保險、保險法、壽險與產險數學等
財經,財政與稅務學,財政學、租稅法、中級會計學、稅務法規概要、貨幣銀行學、經濟學、所得稅理論與制度、租稅申報實務等
遊憩與運動,觀光學,觀光學、旅館管理、管理學、觀光行銷、旅行經營、觀光產業法規、觀光實習等
遊憩與運動,餐飲與餐旅管理學,餐飲管理、餐飲衛生安全、餐飲服務、成本控制、食品加工、中餐、西餐、西點等
遊憩與運動,旅館與旅運管理學,旅館管理、旅館行銷、房務管理、旅館英文、旅館日文、旅館會計、旅館實習、遊程規劃與設計、航空票務等
遊憩與運動,休閒與遊憩學,休閒事業概論、旅館管理、觀光學、導覽與解說概論、行銷管理、休閒管理實務等
遊憩與運動,體育與運動學,運動管理學、運動生理學、運動行銷學、運動心理學、健康管理、休閒運動實務等
